sample_id,annotator,userName,llm_emotion,repaired_emotion,A1_is_distorted,A2_severity,A3_correct_emotion,annotator_notes,timestamp,domain
D001,A,祐晨,joy,sadness,NO,Moderate,joy,,2026-04-16T12:11:14.120Z,Amazon
D002,A,祐晨,joy,sadness,NO,Moderate,joy,,2026-04-16T12:12:44.928Z,Amazon
D003,A,祐晨,joy,sadness,NO,Moderate,joy,,2026-04-20T04:34:38.090Z,Amazon
D004,A,祐晨,joy,sadness,NO,Moderate,joy,,2026-04-20T04:34:55.466Z,Amazon
D005,A,祐晨,joy,sadness,NO,Moderate,joy,,2026-04-20T04:37:17.513Z,Amazon
D006,A,祐晨,joy,anger,NO,Moderate,joy,,2026-04-20T04:37:20.514Z,Amazon
D007,A,祐晨,joy,anger,NO,Moderate,joy,,2026-04-20T04:37:28.513Z,Amazon
D008,A,祐晨,joy,anger,NO,Moderate,joy,,2026-04-20T04:37:44.345Z,Amazon
D009,A,祐晨,joy,anger,NO,Moderate,joy,,2026-04-20T04:37:51.266Z,Amazon
D010,A,祐晨,joy,anger,NO,Moderate,joy,,2026-04-20T04:37:58.713Z,Amazon
D011,A,祐晨,joy,fear,NO,Severe,joy,,2026-04-20T04:38:09.946Z,Amazon
D012,A,祐晨,joy,fear,NO,Severe,joy,,2026-04-20T04:38:15.561Z,Amazon
D013,A,祐晨,joy,fear,NO,Severe,joy,,2026-04-20T04:38:22.201Z,Amazon
D014,A,祐晨,joy,fear,NO,Severe,joy,,2026-04-20T04:38:31.162Z,Amazon
D015,A,祐晨,joy,fear,NO,Moderate,joy,,2026-04-20T04:38:39.586Z,Amazon
D016,A,祐晨,joy,disgust,NO,Moderate,joy,,2026-04-20T04:38:51.522Z,Amazon
D017,A,祐晨,joy,disgust,NO,Moderate,joy,,2026-04-20T04:38:56.394Z,Amazon
D018,A,祐晨,joy,disgust,NO,Severe,joy,,2026-04-20T04:39:02.210Z,Amazon
D019,A,祐晨,joy,disgust,NO,Severe,joy,,2026-04-20T04:39:08.226Z,Amazon
D020,A,祐晨,joy,disgust,NO,Moderate,joy,,2026-04-20T04:39:14.234Z,Amazon
D021,A,祐晨,joy,frustration,NO,Moderate,joy,,2026-04-20T04:39:20.306Z,Amazon
D022,A,祐晨,joy,frustration,NO,Moderate,joy,,2026-04-20T04:39:28.091Z,Amazon
D023,A,祐晨,joy,frustration,NO,Moderate,joy,,2026-04-20T04:39:34.490Z,Amazon
D024,A,祐晨,joy,frustration,NO,Moderate,joy,,2026-04-20T04:39:41.978Z,Amazon
